key	calle	altura	barrio	usig_lat	usig_lon	georef_lat	georef_lon	n_ok	max_pairwise_m	consensus_lat	consensus_lon
av entre rios|2140|constitucion	Av. Entre Rios	2140	Constitucion	-34.6332	-58.390365	-34.63324647052751	-58.390457658038706	2	9.9	-34.6332232	-58.3904113
estado de israel|4334|almagro	Estado De Israel	4334	Almagro	-34.598112	-58.426966	-34.59801856650554	-58.426976030755576	2	10.4	-34.5980653	-58.426971
solis|200|san nicolas	Solis	200	San Nicolas	-34.611296	-58.390323	-34.6113899647795	-58.3903642327649	2	11.1	-34.611343	-58.3903436
cuenca|4800|villa pueyrredon	Cuenca	4800	Villa Pueyrredon	-34.587966	-58.506897	-34.5878631027797	-58.5069215082223	2	11.6	-34.5879146	-58.5069093
av salvador maria del carril|4100|villa devoto	Avenida Salvador María Del Carril	4100	Villa Devoto					0			
av coronel diaz|1700|palermo	Avenida Coronel Diaz	1700	Palermo	-34.591715	-58.412477	-34.5918351513874	-58.4124630272556	2	13.4	-34.5917751	-58.41247
hipolito yrigoyen|4201|caballito	Hipolito Yrigoyen	4201	Caballito	-34.614835	-58.426147	-34.6149009274971	-58.4259679825652	2	18.0	-34.614868	-58.4260575
av angel gallardo|900|villa crespo	Av. Angel Gallardo	900	Villa Crespo	-34.606666	-58.442844	-34.6066123943575	-58.4429801163197	2	13.8	-34.6066392	-58.4429121
cochabamba|2800|san cristobal	Cochabamba	2800	San Cristobal	-34.625618	-58.404041	-34.6255851558501	-58.4041560218163	2	11.2	-34.6256016	-58.4040985
av corrales|6700|mataderos	Av. Corrales	6700	Mataderos	-34.663864	-58.50152	-34.6638554750519	-58.5017322628753	2	19.5	-34.6638597	-58.5016261
av cordoba|4340|palermo	Av. Cordoba	4340	Palermo	-34.595936	-58.427578	-34.59590675186389	-58.427447779354935	2	12.4	-34.5959214	-58.4275129
washington|2300|belgrano	Washington	2300	Belgrano	-34.567866	-58.471019	-34.5677680536622	-58.4710453518827	2	11.1	-34.567817	-58.4710322
av melian|3600|saavedra	Av. Melián	3600	Saavedra	-34.555421	-58.479652	-34.5553266981601	-58.4796843895818	2	10.9	-34.5553738	-58.4796682
zapiola|4300|nunez	Zapiola	4300	Nuñez	-34.546784	-58.4779	-34.5466827467331	-58.47790026568	2	11.2	-34.5467334	-58.4779001
comodoro martin rivadavia|1600|nunez	Comodoro Martin Rivadavia	1600	Nuñez	-34.541352	-58.4629	-34.541583600838	-58.4631814295618	2	36.4	-34.5414678	-58.4630407
conde|2700|belgrano	Conde	2700	Belgrano	-34.561993	-58.470142	-34.5618893426071	-58.4701601865414	2	11.6	-34.5619412	-58.4701511
federico lacroze|2467|belgrano	Federico Lacroze	2467	Belgrano	-34.570996	-58.445578	-34.5711001080943	-58.44552551873264	2	12.5	-34.5710481	-58.4455518
libertador|1700|palermo	Libertador	1700	Palermo	-34.583227	-58.397375	-34.5830792587921	-58.3973116187451	2	17.4	-34.5831531	-58.3973433
salta|1300|constitucion	Salta	1300	Constitucion	-34.622681	-58.383014	-34.62346049982438	-58.38295372562082	2	86.6	-34.6230707	-58.3829839
aguillar|2400|belgrano	Aguillar	2400	Belgrano			-34.5688862544512	-58.4470421994841	1		-34.5688863	-58.4470422
