posting_id	sitio	operacion	precio	calle	altura	losa_central	aire_acond	apto_credito	cochera	seguridad	luminoso	balcon_aterrazado	barrio_oficial	moneda	accesible_movilidad_reducida	acepta_caucion	agua_caliente_central	ambientes	antiguedad_años	apto_profesional	ascensor	balcon	baulera	baños	dependencia_servicio	dormitorios	expensas_incluidas_en_precio	gimnasio	lavadero	m2_total	ofrece_financiacion	parrilla	pileta	portero	sum	terraza	tiene_expensas	expensas	sobre_avenida	precio_por_m2	segmento_zona	segmento_zona_modelo	log_precio	log_m2	log_precio_m2	amenities_count	m2_relativo_barrio	lat	lon	geo_source
57947380	zonaprop	alquiler	4600.0	Ramsay	1945.0	0	0	0	1	0	0	0	Belgrano	usd	0	0	0	4.0	35.0	0	1	0	0	4.0	0	3.0	False	0	1	220.0	0	0	1	0	1	0	1.0	1250000.0	0	20.90909090909091	estandar	estandar	8.434028950155469	5.3981627015177525	3.086901660692285	6.0		-34.5534921	-58.4386677	consenso_multi_api
57947739	zonaprop	alquiler	4599.0	Ramsay	1945.0	0	0	0	1	0	0	0	Belgrano	usd	0	0	0	4.0	35.0	0	1	0	0	4.0	0	3.0	False	0	1	219.0	0	0	1	0	1	1	1.0	1250000.0	0	21.0	estandar	estandar	8.433811582477187	5.393627546352362	3.091042453358316	7.0		-34.5534921	-58.4386677	consenso_multi_api
57947778	zonaprop	alquiler	470000.0	Del Pino, Virrey	2300.0	0	1	0	1	1	1	0	Belgrano	ars	0	0	0	1.0	10.0	0	0	0	0	1.0	0	1.0	True	0	0	25.0	0	0	0	0	0	0	1.0	190000.0	0	18800.0	estandar	estandar	13.060490101343552	3.258096538021482	9.841665338892785	5.0		-34.5656641	-58.4511565	consenso_multi_api
57916158	zonaprop	alquiler	390000.0	Juan B Alberdi	880.0	0	0	0	0	0	0	0	Caballito	ars	0	0	0	1.0	20.0	0	0	0	0	1.0	0	1.0	False	0	0	30.0	0	0	0	0	0	0	1.0	80000.0	0	13000.0	estandar	estandar	12.873904582205109	3.4339872044851463	9.472781556562168	1.0		-34.623032	-58.440343	consenso_multi_api
57916885	zonaprop	alquiler	630000.0	Cachimayo	100.0	1	0	0	0	0	1	0	Caballito	ars	0	0	0	2.0	18.0	0	0	0	0	1.0	0	1.0	False	0	1	38.0	0	0	0	0	0	0	1.0	100000.0	0	16578.947368421053	estandar	estandar	13.353476685668044	3.6635616461296463	9.715949254282622	4.0		-34.6220666	-58.4423162	consenso_multi_api
57933750	zonaprop	alquiler	3800.0	Juncal	750.0	1	0	0	1	0	1	0	Retiro	usd	0	0	0	4.0	53.5	0	1	0	1	4.0	0	3.0	False	0	1	372.0	0	0	0	0	0	0	1.0	520000.0	0	10.21505376344086	estandar	estandar	8.24301946898925	5.921578419643816	2.4172569618475164	7.0		-34.5929164	-58.377779	consenso_multi_api
57933923	zonaprop	alquiler	2400.0	Avenida Santa Fe	4900.0	0	1	0	1	0	1	0	Palermo	usd	0	0	0	5.0	40.0	0	0	1	0	2.0	0	4.0	False	0	1	120.0	0	0	1	0	1	1	1.0	384500.0	1	20.0	estandar	estandar	7.783640596221253	4.795790545596741	3.044522437723423	10.0		-34.5775393	-58.4286404	consenso_multi_api
57934322	zonaprop	alquiler	1300.0	Boulevard Rosario Vera Peñaloz	599.0	0	0	0	1	0	0	0	Puerto Madero	usd	0	0	0	2.0	7.0	0	0	0	0	1.0	0	1.0	False	1	0	42.0	0	0	0	0	0	0	1.0	200000.0	0	30.952380952380956	premium	premium	7.170888478512505	3.7612001156935615	3.464246699248259	3.0				consenso_multi_api
57934885	zonaprop	alquiler	2000.0	Av. Alvear	1800.0	0	0	0	0	1	1	0	Recoleta	usd	0	0	0	4.0	50.0	0	0	1	0	2.0	1	2.0	False	0	1	135.0	0	0	0	0	0	0	1.0	400000.0	1	14.814814814814817	estandar	estandar	7.601402334583733	4.912654885736052	2.760947147224296	7.0		-34.5884254	-58.3880561	consenso_multi_api
57936938	zonaprop	alquiler	750000.0	Sarmiento	3000.0	0	0	0	0	0	1	0	Almagro	ars	0	0	0	3.0	45.0	0	0	1	0	1.0	0	2.0	False	0	0	80.0	0	0	0	0	0	0	1.0	120000.0	0	10249.35064935065	estandar	estandar	13.527829818844936	4.394449154672439	9.235067193674162	3.0		-34.6066964	-58.4086108	consenso_multi_api
57904248	zonaprop	alquiler	1300.0	Arenales	1400.0	0	0	0	0	0	1	0	Recoleta	usd	0	0	0	3.0	40.0	0	0	1	0	1.0	1	2.0	False	0	1	80.0	0	0	0	0	0	0	1.0	430000.0	0	16.25	estandar	estandar	7.170888478512505	4.394449154672439	2.847812143477369	5.0		-34.5946588	-58.3872357	consenso_multi_api
57906423	zonaprop	alquiler	500000.0	Reconquista	600.0	0	0	0	0	0	0	0	Retiro	ars	0	0	0	1.0	30.0	0	0	0	0	1.0	0	1.0	False	0	0	32.0	0	0	0	0	0	0	1.0	180000.0	0	15625.0	estandar	estandar	13.122365377402328	3.49650756146648	9.65669147255669	1.0		-34.6009007	-58.3726105	consenso_multi_api
57857745	zonaprop	alquiler	800.0	Ayacucho	1176.0	0	0	0	0	0	1	0	Recoleta	usd	0	0	0	2.0	36.0	0	0	0	0	1.0	0	1.0	False	0	0	55.0	0	0	0	0	0	0	1.0	149500.0	0	14.545454545454543	estandar	estandar	6.68586094706836	4.02535169073515	2.743768283704289	2.0		-34.594875	-58.3959709	consenso_multi_api
57860720	zonaprop	alquiler	799.0	Av. Ing. Huergo	551.0	0	0	0	0	1	0	0	Puerto Madero	usd	0	0	0	1.0	1.0	0	0	0	0	1.0	0	1.0	False	0	0	35.0	0	0	0	0	0	0	1.0	180000.0	1	22.82857142857143	premium	premium	6.684611727667927	3.58351893845611	3.170885340869333	3.0		-34.6139923	-58.3669256	consenso_multi_api
57877358	zonaprop	alquiler	1600000.0	La Pampa	900.0	0	0	0	1	0	0	0	Belgrano	ars	0	0	0	3.0	33.0	0	0	1	0	1.0	0	2.0	False	1	0	80.0	0	1	1	0	1	0	1.0	500000.0	0	20000.0	estandar	estandar	14.285514812209817	4.394449154672439	9.90353755128617	7.0		-34.5555714	-58.4385207	consenso_multi_api
57880634	zonaprop	alquiler	520000.0	Granaderos	770.0	0	0	0	0	0	1	0	Flores	ars	0	0	0	1.0	10.0	0	0	1	0	1.0	0	1.0	False	0	0	33.0	0	0	1	0	1	1	1.0	150000.0	0	15757.575757575758	estandar	estandar	13.161586013632684	3.5263605246161616	9.665139988615993	6.0		-34.6190678	-58.4631737	consenso_multi_api
57881055	zonaprop	alquiler	350000.0	Av. Callao	200.0	0	1	0	0	0	1	0	San Nicolas	ars	0	0	1	1.0	40.0	0	0	0	0	1.0	0	1.0	False	0	0	20.0	0	0	0	0	0	0	1.0	100000.0	1	17500.0	estandar	estandar	12.765691290604371	3.044522437723423	9.770013301136158	5.0		-34.6068834	-58.3921591	consenso_multi_api
57881664	zonaprop	alquiler	1100.0			0	1	1	1	0	1	0	Palermo	usd	0	1	0	1.0	10.0	0	0	1	0	1.0	0	1.0	False	1	1	50.0	0	0	1	0	1	0	1.0	150000.0	0	22.0	estandar	estandar	7.00397413672268	3.9318256327243257	3.1354942159291497	11.0				
57882047	zonaprop	alquiler	1600000.0	Arenales	2800.0	0	1	0	0	0	0	1	Recoleta	ars	0	0	0	3.0	48.5	0	0	1	0	2.0	1	2.0	False	0	1	116.0	0	1	0	0	0	1	1.0	350000.0	0	13793.103448275862	estandar	estandar	14.285514812209817	4.762173934797756	9.531996493475647	8.0		-34.5918541	-58.4050406	consenso_multi_api
