barrio_oficial	rent_bruta_lp_pct	años_recupero	precio_m2_mediano	precio_m2_promedio	retorno_neto_lp_mediano	rent_neta_lp_pct	m2_relativo_barrio_mediano	rent_bruta_temp_pct	indice_bruto	modalidad_optima_bruta	ingreso_anual_mediano	costo_propietario_mediano	retorno_neto_temp_mediano	costo_expensas_pct	rent_neta_temp_pct	indice_neto	modalidad_optima_neta
San Cristobal	5.88	17.0	1932.0	1967.0	5088.339222614841	6	1.0	5.06	0.86	Largo plazo	4380.0	1441.696113074205	3814.3038869257953	2	4	0.67	Largo plazo
San Nicolas	6.3	15.9	1739.0	1801.0	5512.367491166078	6	1.0	5.92	0.94	Largo plazo	5256.0	1102.4734982332157	4153.526501766784	1	5	0.83	Largo plazo
San Telmo	6.52	15.3	1938.0	2131.0	6360.424028268551	7	1.0	5.8	0.89	Largo plazo	5650.2	1102.4734982332157	4492.749116607774	1	5	0.71	Largo plazo
Velez Sarsfield	5.5	18.2	1790.0	1811.0	5088.339222614841	6	1.0										
Versalles	6.34	15.8	2050.0	2183.0	6360.424028268551	6	1.0										
Villa Crespo	5.01	20.0	2509.0	2546.0	6607.420494699647	5	1.0	4.61	0.92	Largo plazo	6132.0	1356.8904593639575	4950.309540636043	1	4	0.8	Largo plazo
Villa Del Parque	4.41	22.7	2344.0	2428.0	5512.367491166078	4	1.0	4.56	1.03	Temporario	5694.0	1081.2720848056538	4917.977385159011	1	4	1.0	Largo plazo
Villa Devoto	4.01	24.9	2602.0	2859.0	6784.452296819788	4	1.0	3.89	0.97	Largo plazo	6570.0	1420.494699646643	5128.303886925795	1	3	0.75	Largo plazo
Villa Gral. Mitre	4.9	20.4	1964.0	1996.0	5385.159010600706	5	1.0	3.19	0.65	Largo plazo	3504.0	551.2367491166078	2952.763250883392	1	3	0.6	Largo plazo
Villa Lugano	9.19	10.9	1040.0	1323.0	5512.367491166078	9	1.0										
Villa Luro	4.97	20.1	2414.0	2449.0	5936.395759717314	5	1.0	9.53	1.92	Temporario	11388.0	1229.6819787985867	10158.318021201414	1	9	1.8	Temporario
Villa Ortuzar	3.91	25.6	2667.0	2790.0	5088.339222614841	4	1.0	4.38	1.12	Temporario	5694.0	1950.5300353356888	4082.6925795053003	2	3	0.75	Largo plazo
Villa Pueyrredon	5.23	19.1	2367.0	2374.0	5936.395759717314	5	1.0	5.48	1.05	Temporario	6219.6	996.4664310954063	4916.257950530035	1	4	0.8	Largo plazo
Villa Real	6.7	14.9	2042.0	2064.0	6106.007067137809	6	1.0										
Villa Riachuelo	4.54	22.0	1752.0	1752.0	5512.367491166078	5	1.0										
Villa Santa Rita	5.29	18.9	2196.0	2233.0	5766.78445229682	5	1.0	4.06	0.77	Largo plazo	4426.43109540636	0.0	4426.43109540636	0	4	0.8	Largo plazo
Villa Soldati	13.98	7.2	856.0	949.0	6572.438162544169	14	1.0										
Villa Urquiza	4.46	22.4	2838.0	2924.0	6360.424028268551	4	1.0	3.99	0.89	Largo plazo	5694.0	1356.8904593639575	4337.109540636043	1	3	0.75	Largo plazo
