posting_id	sitio	operacion	precio	calle	altura	losa_central	aire_acond	apto_credito	cochera	seguridad	luminoso	balcon_aterrazado	barrio_oficial	moneda	accesible_movilidad_reducida	acepta_caucion	agua_caliente_central	ambientes	antiguedad_años	apto_profesional	ascensor	balcon	baulera	baños	dependencia_servicio	dormitorios	expensas_incluidas_en_precio	gimnasio	lavadero	m2_total	ofrece_financiacion	parrilla	pileta	portero	sum	terraza	tiene_expensas	expensas	sobre_avenida	precio_por_m2	segmento_zona	segmento_zona_modelo	log_precio	log_m2	log_precio_m2	amenities_count	m2_relativo_barrio
58508432	zonaprop	venta	350000.0	Avenida Directorio	200.0	0	1	0	1	0	1	1	Caballito	usd	0	0	0	4.0	30.0	0	0	1	0	3.0	0	3.0	False	0	0	117.0	0	0	0	0	0	1		238000.0	1	2991.4529914529912	estandar	estandar	12.765691290604371	4.770684624465665	8.003848728521104	7.0	1.253
58495763	zonaprop	venta	117000.0	Ramallo	1600.0	1	0	0	0	0	1	0	Nuñez	usd	1	0	0	1.0	6.5	0	0	0	0	1.0	0	1.0	False	0	1	39.0	0	0	0	0	0	0		150000.0	0	3000.0	estandar	estandar	11.669937760751914	3.6888794541139363	8.006700845440367	4.0	0.874
58495787	zonaprop	venta	179900.0	Mario Bravo	1200.0	0	0	0	0	0	1	0	Palermo	usd	1	0	0	4.0	40.0	1	0	0	0	2.0	0	3.0	False	0	1	115.0	0	0	0	0	0	0		200000.0	1	1679.3763213530656	estandar	estandar	12.100161978566867	4.7535901911063645	7.4267730481182666	5.0	0.483
58509064	zonaprop	venta	90000.0	Libertad	1000.0	0	0	1	0	0	1	1	Recoleta	usd	0	0	0	1.0	30.0	1	0	1	0	1.0	0	1.0	False	0	0	32.0	0	0	0	0	0	1		132500.0	0	2812.5	estandar	estandar	11.407576060361786	3.4965075614664802	7.942184538873334	6.0	1.067
58509067	zonaprop	venta	450000.0	Juncal	3600.0	1	0	0	1	1	1	0	Palermo	usd	1	0	0	3.0	40.0	0	0	1	1	2.0	0	2.0	False	0	0	125.0	0	0	0	0	0	0		379200.0	0	3600.0	estandar	estandar	13.017005083966255	4.836281906951478	8.188966863648876	7.0	1.111
58496162	zonaprop	venta	79500.0	Muñiz	700.0	0	1	1	0	0	1	0	Boedo	usd	1	0	0	2.0	20.0	0	0	0	0	1.0	0	1.0	False	0	1	41.0	0	0	1	0	0	0		75000.0	0	1939.0243902439024	estandar	estandar	11.283524879179666	3.7376696182833684	7.570455824269015	6.0	0.934
58531525	zonaprop	venta	244150.0	Armenia	1200.0	0	0	0	0	0	0	0	Palermo	usd	0	0	0	2.0	20.0	0	0	1	0	2.0	0	1.0	False	0	0	64.0	0	0	0	0	0	0		388000.0	0	3814.84375	estandar	estandar	12.405542165324139	4.174387269895637	8.246917085713095	1.0	1.177
58531530	zonaprop	venta	387765.0			0	0	0	0	0	1	0	Palermo	usd	0	0	0	4.0	40.0	1	0	1	0	1.0	0	3.0	False	1	0	111.0	0	0	1	0	1	0		388000.0	0	3493.3783783783783	estandar	estandar	12.868157343888301	4.718498871295094	8.1589107785852	6.0	1.078
58531565	zonaprop	venta	218300.0	Miller	4400.0	0	0	0	0	0	0	0	Saavedra	usd	0	0	0	2.0	4.0	0	0	1	0	1.0	0	1.0	False	0	0	63.0	0	0	0	0	0	1		181500.0	0	3465.0793650793653	estandar	estandar	12.293630123379582	4.1588830833596715	8.15077936818978	2.0	1.292
58538431	zonaprop	venta	190000.0	Deheza	2300.0	1	1	0	1	1	1	0	Nuñez	usd	0	0	0	2.0	10.0	1	1	1	0	1.0	0	1.0	False	1	1	44.0	0	1	1	0	1	1		200000.0	0	4318.181818181818	estandar	estandar	12.154784614286667	3.8066624897703196	8.370821269361466	14.0	1.259
58532026	zonaprop	venta	305000.0	Beiro	5025.0	0	0	0	1	1	1	1	Villa Devoto	usd	1	0	0	4.0	1.0	0	0	1	0	1.0	0	3.0	False	0	0	118.0	0	1	0	0	0	1		240000.0	0	2584.7457627118642	estandar	estandar	12.628070334272698	4.77912349311153	7.857769241548986	8.0	0.993
58532174	zonaprop	venta	83000.0			0	0	0	0	0	1	0	San Nicolas	usd	0	0	0	2.0	40.0	0	1	0	0	1.0	0	1.0	False	0	0	40.0	0	0	0	0	0	0		190000.0	0	2075.0	estandar	estandar	11.326607934898927	3.713572066704308	7.638198244285779	2.0	1.193
58517324	zonaprop	venta	153000.0	Av. Scalabrini Ortiz	300.0	0	0	0	0	0	1	0	Villa Crespo	usd	0	0	0	2.0	35.0	0	0	1	0	1.0	0	1.0	False	1	1	53.0	0	1	0	0	1	0		150000.0	1	2886.7924528301887	estandar	estandar	11.938199736300925	3.9889840465642745	7.9682476320667694	7.0	1.15
58495601	zonaprop	venta	88000.0	Av. Corrientes	6300.0	0	0	0	0	1	0	0	Chacarita	usd	0	0	0	1.0	9.0	1	0	0	0	1.0	0	1.0	False	1	1	35.0	0	0	0	0	1	0		185000.0	1	2514.285714285714	estandar	estandar	11.385103457032141	3.58351893845611	7.830141680171131	6.0	0.954
58508307	zonaprop	venta	128500.0	Monsignor Vicente Faustino Zazpe	3100.0	1	1	1	1	0	1	0	Palermo	usd	0	0	0	2.0	13.0	1	1	0	0	1.0	0	1.0	False	0	1	45.0	0	0	0	0	0	0		200000.0	0	2855.5555555555557	estandar	estandar	11.763691965388299	3.828641396489095	7.9573718267958204	8.0	0.881
58508690	zonaprop	venta	640900.0	Cerviño	3941.0	0	0	0	0	1	1	0	Palermo	usd	0	0	0	4.0	40.0	0	0	1	0	2.0	0	3.0	False	1	1	118.0	0	1	1	0	0	0		181000.0	0	5431.35593220339	estandar	estandar	13.370630277796922	4.77912349311153	8.60012819216612	7.0	1.676
58508731	zonaprop	venta	109000.0	Fitz Roy	2057.0	0	1	0	1	0	0	0	Palermo	usd	0	0	1	1.0	14.0	0	1	1	0	1.0	0	1.0	False	0	0	30.0	0	0	0	0	0	1		162000.0	0	3633.3333333333335	estandar	estandar	11.599112335481124	3.4339872044851463	8.198180971038273	6.0	1.121
58496119	zonaprop	venta	1100000.0	Senillosa	571.0	0	1	0	1	1	1	1	Caballito	usd	0	0	0	5.0	30.0	0	0	1	1	4.0	0	4.0	False	1	1	337.0	0	1	1	0	0	1		1600000.0	0	3264.094955489614	estandar	estandar	13.910821646859095	5.823045895483019	8.091044124132845	12.0	1.367
58496224	zonaprop	venta	100000.0	Vuelta De Obligado	2600.0	0	1	0	0	1	1	0	Belgrano	usd	0	0	0	3.0	17.0	0	0	1	0	1.0	0	2.0	False	0	1	47.0	0	0	0	0	0	1		120000.0	0	2127.659574468085	estandar	estandar	11.51293546492023	3.871201010907891	7.663247752844765	6.0	0.684
58586086	zonaprop	venta	195000.0	José Bonifacio,	2394.0	1	0	0	0	0	0	0	Flores	usd	0	0	0	4.0	40.0	0	0	1	1	1.0	1	3.0	False	0	1	106.0	0	0	0	0	0	0		130000.0	0	1839.622641509434	estandar	estandar	12.180759965737863	4.672828834461906	7.517859185486022	5.0	0.936
58586135	zonaprop	venta	97500.0	Vera	966.0	0	0	0	0	0	0	0	Villa Crespo	usd	0	0	0	1.0	5.0	0	0	1	0	1.0	0	1.0	False	0	0	41.0	0	0	0	0	0	0		180000.0	0	2378.048780487805	estandar	estandar	11.487617913343598	3.7376696182833684	7.774456014711406	1.0	0.948
58586160	zonaprop	venta	117500.0	Avenida Doctor Ricardo Balbín,	3245.0	0	1	0	1	1	1	0	Coghlan	usd	0	0	0	1.0	15.0	1	1	1	0	1.0	0	1.0	False	0	1	49.0	0	1	1	0	0	0		0.0	1	2397.9591836734694	estandar	estandar	11.674202123168433	3.912023005428146	7.782790248803114	11.0	0.878
58586184	zonaprop	venta	85000.0	Echeverría	1400.0	0	0	0	0	1	0	0	Belgrano	usd	0	0	0	2.0	19.5	1	1	0	0	1.0	0	1.0	False	0	0	39.0	0	0	0	0	0	0		127690.0	0	2179.4871794871797	estandar	estandar	11.350418300109132	3.6888794541139363	7.687303607644889	3.0	0.7
58586186	zonaprop	venta	239500.0	24 De Noviembre	1500.0	0	1	1	1	0	0	0	San Cristobal	usd	0	0	0	4.0	50.0	0	1	0	0	2.0	0	3.0	False	0	0	103.0	0	0	0	0	0	0		121000.0	0	2325.242718446602	estandar	estandar	12.386312871189734	4.6443908991413725	7.752009677783524	4.0	1.204
