propiedad_id,barrio_oficial,cluster_id,operacion,moneda,precio,precio_usd,precio_por_m2,precio_por_m2_usd,precio_m2_relativo_barrio,m2_total,ambientes,dormitorios,baños,antiguedad_años,expensas,lat,lon,dist_subte_km,dist_verde_km,dist_tren_km,cerca_subte,cerca_verde,cerca_tren,indice_lujo,indice_confort,score_antiguedad,pca_precio_sup,pca_antiguedad,segmento_zona,segmento_zona_modelo,es_oportunidad
zonaprop_58757240,Recoleta,3.0,alquiler,ars,750000.0,513.6986301369863,12500.0,8.561643835616438,0.342,60.0,2.0,1.0,1.0,36.0,300000.0,-34.594827,-58.4083467,0.37125793403862206,0.16008914495120738,1.5328544079227049,1,1,0,-0.13740393006914212,0.16666666666666666,0.6730917429392638,-0.41136603764486535,0.9940706841681236,estandar,estandar,1
zonaprop_58818211,Belgrano,1.0,alquiler,ars,1700000.0,1164.3835616438357,14912.280701754386,10.213890891612593,0.004,114.0,3.0,2.0,2.0,35.0,400000.0,-34.5676784,-58.4474753,0.36462230748244945,0.08152385479743879,0.5969980852660607,1,1,1,0.08525711737541378,0.16666666666666666,0.6731146950715801,0.30415957154430073,0.9943223362924419,estandar,estandar,1
zonaprop_58564550,Recoleta,3.0,alquiler,usd,2500.0,2500.0,20.66115702479339,20.66115702479339,0.826,121.0,4.0,2.0,2.0,48.5,1150000.0,-34.5947673,-58.3945411,0.556079760991175,0.2311526994473018,1.8278293151113523,0,1,0,0.5034779116588998,0.16666666666666666,0.7217614374531168,0.6865102075739884,1.5276957019025659,estandar,estandar,1
zonaprop_58314210,Palermo,,alquiler,usd,1300.0,1300.0,19.69696969696969,19.69696969696969,0.679,66.0,2.0,1.0,1.0,20.0,384500.0,,,,,,0,0,0,0.0737820610741159,0.0,0.6155570812277166,-0.6621205434603932,0.3632482559026092,estandar,estandar,1
zonaprop_58810878,Puerto Madero,,alquiler,usd,3800.0,3800.0,32.47863247863248,32.47863247863248,1.026,117.0,3.0,2.0,2.0,14.0,507000.0,,,,,,0,0,0,0.17141763554974324,0.0,0.5969907518752067,-0.08894512867002352,0.1596830203086894,premium,premium,0
zonaprop_58582159,Belgrano,1.0,alquiler,ars,620000.0,424.6575342465753,20666.666666666668,14.155251141552512,0.006,30.0,1.0,1.0,1.0,10.0,200000.0,-34.567299,-58.4562615,0.39671694749939335,0.11596501757126487,0.5682689473964855,1,1,1,0.10616069660640931,0.5,0.5773432739611752,-1.3646337250737999,-0.05573616107384111,estandar,estandar,1
zonaprop_58704157,Retiro,3.0,alquiler,usd,700.0,700.0,17.5,17.5,0.962,40.0,2.0,1.0,1.0,35.0,140000.0,-34.5985501,-58.3726927,0.23501034488629624,0.08426217768553504,0.8871674647686432,1,1,1,-0.15972497815572023,0.0,0.6678085764158919,-0.7020971729326304,0.9361449080175064,estandar,estandar,0
zonaprop_58644374,Palermo,,alquiler,usd,2500.0,2500.0,16.89189189189189,16.89189189189189,0.582,148.0,4.0,3.0,2.0,35.0,512000.0,,,,,,0,0,0,-0.16505235803532112,0.16666666666666666,0.6751888722411126,0.7697115731783524,1.0170640617117597,estandar,estandar,1
zonaprop_58808991,Puerto Madero,,alquiler,usd,1400.0,1400.0,20.895522388059703,20.895522388059703,0.66,67.0,2.0,1.0,1.0,7.5,370000.0,,,,,,0,0,0,0.5034779116588998,0.16666666666666666,0.5706290525624232,-0.9106893762268888,-0.12935233123414905,premium,premium,1
zonaprop_58812449,San Nicolas,3.0,alquiler,ars,700000.0,479.45205479452056,16279.06976744186,11.150047785919083,0.476,43.0,1.0,1.0,1.0,40.0,270000.0,-34.604544,-58.3953083,0.27389534847254676,0.6591905581355767,1.230406141774419,1,0,0,-0.03137215889167633,0.3333333333333333,0.6862244409289782,-0.5582129705955396,1.1380604146906304,estandar,estandar,1
