sitio	posting_id	operacion	moneda	barrio_oficial	calle	altura	precio	precio_usd	precio_por_m2	precio_por_m2_usd	m2_total	ambientes	dormitorios	baños	antiguedad_años	expensas	lat	lon	dist_subte_km	dist_verde_km	dist_tren_km	nivel_socioeconomico	segmento_zona	segmento_zona_modelo	indice_lujo	indice_confort	score_antiguedad	pca_precio_sup	pca_antiguedad	cluster	cluster_nombre
zonaprop	58089307	venta	usd	Belgrano	Roosevelt	2500.0	143000.0	143000.0	2269.84126984127	2269.84126984127	63.0	3.0	2.0	1.0	20.0	168000.0	-34.5581246	-58.4614457	0.288482044291535	0.13658881004404777	1.0766418396567532	5	estandar	estandar	0.07830040318702168	0.6666666666666666	0.5337277487228969	0.01916608933726323	-0.5341333044457827	1.0	Cluster 1: departamentos con amenities premium, con buena base de confort, en barrios de alto nivel socioeconómico
zonaprop	58092961	venta	usd	Palermo	Córdoba	5500.0	138000.0	138000.0	1943.661971830986	1943.661971830986	71.0	1.0	2.0	1.0	20.0	165000.0	-34.5881702	-58.4393831	0.8457036660189459	0.11834479724962468	0.8087972381585742	5	estandar	estandar	0.6627533033918785	0.8333333333333334	0.5461081314681059	0.023511415906061747	-0.39838673529008234	1.0	Cluster 1: departamentos con amenities premium, con buena base de confort, en barrios de alto nivel socioeconómico
zonaprop	58093010	venta	usd	Recoleta	Las Heras	2000.0	425000.0	425000.0	1931.8181818181813	1931.8181818181813	220.0	6.0	5.0	2.0	50.0	400000.0	-34.590136	-58.3939656	0.4199110069713825	0.10681130351709697	1.6809282301538908	5	estandar	estandar	-0.23535982362815736	0.16666666666666666	0.6645682207776741	2.6807565723203295	0.9004867354735424	0.0	Cluster 0: departamentos amplios, antiguos, en barrios de alto nivel socioeconómico
zonaprop	58093997	venta	usd	Monte Castro	Calderon De La Barca	1300.0	134000.0	134000.0	2481.4814814814813	2481.4814814814813	54.0	3.0	2.0	2.0	28.5	120000.0	-34.6271784	-58.5049206	3.246217999732693	0.3172030717862904	1.0434976324168368	2	estandar	estandar	0.2708840963772992	0.0	0.5560014308923116	0.14298856033140514	-0.28991016537258923	2.0	Cluster 2: departamentos antiguos
zonaprop	58094202	venta	usd	Villa Pueyrredon	Gabriela Mistral	2600.0	165000.0	165000.0	1617.6470588235295	1617.6470588235295	102.0	2.0	1.0	1.0	40.0	232500.0	-34.5849839	-58.497986	1.5891106482131039	0.5381220314228872	0.6036683966168656	4	estandar	estandar	0.0322600513289395	0.5	0.6319696179281565	0.7615366271534098	0.543054450288039	1.0	Cluster 1: departamentos con amenities premium, con buena base de confort, en barrios de alto nivel socioeconómico
zonaprop	58094211	venta	usd	Villa Pueyrredon	Condarco	4600.0	165000.0	165000.0	1853.9325842696628	1853.9325842696628	89.0	2.0	1.0	1.0	20.0	232500.0	-34.5857468	-58.4991621	1.7240486200720722	0.5919774013317299	0.6282475382084132	4	estandar	estandar	0.12978475744838225	0.5	0.5505901234370546	0.24004671483670256	-0.3492432600608017	1.0	Cluster 1: departamentos con amenities premium, con buena base de confort, en barrios de alto nivel socioeconómico
zonaprop	58056226	venta	usd	Palermo	Junca	4600.0	395000.0	395000.0	4157.894736842105	4157.894736842105	95.0	3.0	2.0	2.0	40.0	785000.0	-34.5768418	-58.4235045	0.26730073481099936	0.2560676032571001	0.38303594091921395	5	estandar	estandar	1.0092360887954392	0.5	0.539319834397641	1.4814629264657877	-0.4728180397731285	1.0	Cluster 1: departamentos con amenities premium, con buena base de confort, en barrios de alto nivel socioeconómico
zonaprop	58056284	venta	usd	Caballito	Rio De Janeiro	500.0	160000.0	160000.0	3555.555555555556	3555.555555555556	45.0	2.0	1.0	1.0	19.5	260000.0	-34.609943	-58.4304165	0.5901156775853252	0.3171140155667347	1.6106129284601967	4	estandar	estandar	0.5375532183008752	0.3333333333333333	0.48405141021036513	0.17599835776959252	-1.0788169915396193	1.0	Cluster 1: departamentos con amenities premium, con buena base de confort, en barrios de alto nivel socioeconómico
zonaprop	58056378	venta	usd	Villa Crespo	Pringles	1200.0	460000.0	460000.0	3309.3525179856115	3309.3525179856115	139.0	4.0	3.0	2.0	40.0	850000.0	-34.5979423	-58.4264762	0.641539644254541	0.35528488370606437	1.9237997566581997	4	estandar	estandar	0.6002403599154127	0.16666666666666666	0.5731064856852564	1.808818091757286	-0.10235921875415231	0.0	Cluster 0: departamentos amplios, antiguos, en barrios de alto nivel socioeconómico
zonaprop	58056390	venta	usd	Nuñez			145000.0	145000.0	3717.948717948718	3717.948717948718	39.0	1.0	1.0	1.0	6.5	170600.0						5	estandar	estandar	0.20461892119103497	0.5	0.43100204976747136	-0.12675027160395447	-1.6604846850375208		
