barrio_oficial	rent_bruta_lp_pct	años_recupero	precio_m2_mediano	precio_m2_promedio	retorno_neto_lp_mediano	rent_neta_lp_pct	m2_relativo_barrio_mediano	rent_bruta_temp_pct	indice_bruto	modalidad_optima_bruta	ingreso_anual_mediano	costo_propietario_mediano	retorno_neto_temp_mediano	costo_expensas_pct	rent_neta_temp_pct	indice_neto	modalidad_optima_neta	dist_subte_mediana_km	dist_verde_mediana_km	dist_tren_mediana_km	nivel_socioeconomico	indice_lujo_mediano	indice_confort_mediano	score_antiguedad_mediano	cluster_dominante	cluster_nombre_dominante
<<<<<<< HEAD
Agronomia	5.14	19.5	2375.0	2452.0	5088.339222614841	5	1.0	5.31	1.03	Temporario	5256.0	1187.279151943463	4068.720848056537	1.0	4.0	0.8	Largo plazo	2.177	0.156	0.827	3	-0.149	0.167	0.555	3.0	Cluster 3: departamentos lejos del subte
Almagro	4.55	22.0	2297.0	2352.0	5681.978798586572	5	1.0	4.56	1.0	Temporario	5694.0	1187.279151943463	4407.943462897527	1.0	4.0	0.8	Largo plazo	0.339	0.254	1.313	4	-0.151	0.167	0.596	0.0	Cluster 0: departamentos antiguos
Balvanera	6.12	16.3	1645.0	1731.0	5512.367491166078	6	1.0	5.57	0.91	Largo plazo	5014.558303886925	1297.5265017667843	3559.886925795053	1.0	4.0	0.67	Largo plazo	0.242	0.364	0.939	3	-0.263	0.167	0.668	0.0	Cluster 0: departamentos antiguos
Barracas	5.3	18.9	2091.0	2160.0	6614.840989399294	5	1.0	4.96	0.94	Largo plazo	6190.812720848056	1653.7102473498237	4690.303886925795	1.0	4.0	0.8	Largo plazo	1.058	0.171	0.944	2	-0.166	0.167	0.621	0.0	Cluster 0: departamentos antiguos
Belgrano	4.24	23.6	3112.0	3351.0	9328.621908127208	4	1.0	3.24	0.76	Largo plazo	7119.434628975266	1526.5017667844522	5502.69964664311	1.0	3.0	0.75	Largo plazo	0.505	0.203	0.591	5	0.049	0.167	0.577	1.0	Cluster 1: departamentos en barrios de alto nivel socioeconómico
Boedo	5.8	17.2	2077.0	2107.0	5512.367491166078	6	1.0	5.99	1.03	Temporario	5694.0	1017.6678445229684	4676.332155477032	1.0	5.0	0.83	Largo plazo	0.409	0.284	1.867	3	-0.198	0.167	0.585	0.0	Cluster 0: departamentos antiguos
Caballito	3.98	25.1	2388.0	2535.0	6360.424028268551	4	1.0	4.11	1.03	Temporario	6570.0	1170.318021201413	5290.328268551237	1.0	3.0	0.75	Largo plazo	0.414	0.279	1.117	4	-0.103	0.167	0.6	0.0	Cluster 0: departamentos antiguos
Chacarita	6.17	16.2	2634.0	2626.0	6784.452296819789	6	1.0	6.77	1.1	Temporario	7446.0	1484.0989399293285	5384.734982332156	1.0	5.0	0.83	Largo plazo	0.444	0.167	0.541	4	-0.012	0.167	0.561	1.0	Cluster 1: departamentos en barrios de alto nivel socioeconómico
Coghlan	5.22	19.2	2730.0	2805.0	6784.452296819789	5	1.0	5.73	1.1	Temporario	7446.0	1424.7349823321556	5297.915194346289	1.0	4.0	0.8	Largo plazo	1.25	0.124	0.704	4	0.08	0.167	0.483	1.0	Cluster 1: departamentos en barrios de alto nivel socioeconómico
Colegiales	4.73	21.1	2805.0	2945.0	7800.0	5	1.0	5.04	1.07	Temporario	8322.0	1484.0989399293285	6830.915194346289	1.0	4.0	0.8	Largo plazo	0.678	0.183	0.659	5	-0.076	0.167	0.571	1.0	Cluster 1: departamentos en barrios de alto nivel socioeconómico
Constitucion	7.35	13.6	1391.0	1450.0	5512.367491166078	7	1.0	6.6	0.9	Largo plazo	4952.650176678446	1017.6678445229684	3765.371024734983	1.0	5.0	0.71	Largo plazo	0.311	0.217	0.744	3	-0.228	0.167	0.674	0.0	Cluster 0: departamentos antiguos
Flores	5.4	18.5	1966.0	2031.0	5936.395759717314	5	1.0	5.77	1.07	Temporario	6351.0	1272.0848056537102	4937.734982332155	1.0	4.0	0.8	Largo plazo	0.447	0.323	0.739	3	-0.136	0.167	0.603	0.0	Cluster 0: departamentos antiguos
Floresta	5.9	16.9	1800.0	1854.0	5512.367491166078	6	1.0	3.64	0.62	Largo plazo	3404.946996466431	424.0282685512368	2980.918727915194	0.0	3.0	0.5	Largo plazo	1.385	0.183	0.689	3	-0.237	0.167	0.61	0.0	Cluster 0: departamentos antiguos
La Boca	6.79	14.7	1393.0	1543.0	5003.533568904593	7	1.0	7.14	1.05	Temporario	5256.0	1017.6678445229684	4323.137809187279	1.0	6.0	0.86	Largo plazo	1.936	0.16	1.83	2	-0.288	0.167	0.652	3.0	Cluster 3: departamentos lejos del subte
La Paternal	5.8	17.2	1993.0	1967.0	5512.367491166078	6	1.0	4.24	0.73	Largo plazo	4024.028268551237	1526.5017667844522	2497.526501766785	2.0	3.0	0.5	Largo plazo	1.975	0.211	0.875	3	-0.244	0.167	0.621	3.0	Cluster 3: departamentos lejos del subte
Liniers	4.68	21.4	2181.0	2175.0	5088.339222614841	5	1.0	4.43	0.95	Largo plazo	4818.0	1441.696113074205	3376.3038869257957	1.0	3.0	0.6	Largo plazo	4.68	0.289	0.945	2	-0.237	0.167	0.528	3.0	Cluster 3: departamentos lejos del subte
Mataderos	5.24	19.1	2027.0	2046.0	5766.78445229682	5	1.0											3.826	0.215	1.748	2	-0.192	0.167	0.522	3.0	Cluster 3: departamentos lejos del subte
Monserrat	6.9	14.5	1829.0	1948.0	6000.0	7	1.0	6.04	0.88	Largo plazo	5256.0	1526.5017667844522	4139.554770318021	2.0	5.0	0.71	Largo plazo	0.258	0.187	1.69	3	-0.245	0.167	0.65	0.0	Cluster 0: departamentos antiguos
Monte Castro	5.06	19.8	2201.0	2231.0	5512.367491166078	5	1.0	4.78	0.94	Largo plazo	5212.2	826.8551236749116	4385.344876325088	1.0	4.0	0.8	Largo plazo	3.346	0.342	1.657	2	-0.185	0.167	0.556	3.0	Cluster 3: departamentos lejos del subte
